,ru-ru,en,,,,,NOTES – use \n for newline,max length
current_language,русский(Сообщество),English,,,,,,
booktitle00,Изумрудная скрижаль - том I,Emerald Tablet - volume I,,,,,doesn't need to be translated,
bookdesc00,"Это правда без лжи, определённая и самая правдивая.\nТо, что находится внизу, подобно тому, что сверху, а то, что сверху, подобно тому, что снизу,\nчтобы творить чудеса только одной некой сущности.\nВсе вещи как были и как возникали в этой самой некой сущности при посредничестве её самой же, так они и рождаются из неё же путём адаптации.\n","Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing.\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.",,,,,doesn't need to be translated,
booktitle01,Изумрудная скрижаль Тота,Emerald Tablet of Thoth,,,,,doesn't need to be translated,
bookdesc01,"Необходимость скрывать Искусство - одна из главных тревог алхимиков.\nМы поклялись скрывать небо, землю и ад, четыре стихии, высоту и глубину,\nГермеса, Анубиса и завывания Керкороса.\nОт нас требуется клятва, чтобы мы ничего не открыли ясно ни одному непосвящённому существу.\n","The necessity of concealing the Art is\none of the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth and hell,\nby the four elements, by the height and the depth,\nby Hermes, by Anubis,and by the howlings of Kerkoros.\nAn oath has been required of us to reveal\nnothing clearly to any uninitiated being.",,,,,doesn't need to be translated,
booktitle02,Изумрудная скрижаль - том II,Emerald Tablet - volume II,,,,,doesn't need to be translated,
bookdesc02,"Рождён дух белый как снег, и другой дух красный как кровь,\nи оба они содержатся в третьей, скрытой сущности.\n","Thence is born a spirit white as snow, \nand another spirit red as blood,\nwhich two spirits are contained in a third hidden thing.",,,,,doesn't need to be translated,
booktitle03,Изумрудная скрижаль - том III,Emerald Tablet - volume III,,,,,doesn't need to be translated,
bookdesc03,"Прислушайся к моему предупреждению, или за этим последует смерть и распад.\n",Heed my warning or death and decay will follow.,,,,,doesn't need to be translated,
booktitle04,Изумрудная скрижаль - том IV,Emerald Tablet - volume IV,,,,,doesn't need to be translated,
bookdesc04,"Определение смерти - это разделение составного, но нет разделения того, что просто, ибо это одно единое.\nСмерть заключается в отделении души от тела, потому что всё,\nчто состоит из двух, трёх или четырёх компонентов,\nдолжно распадаться, и это и есть смерть.\nПоймите затем, что никакая сложная субстанция, которая не имеет в себе огня,\nне может ни есть, ни пить, ни спать, потому что это именно огнь, \nего дух, и есть тот, кто ест.\n","The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it is one.\nDeath consists in the separation of the soul from the body,\nbecause anything formed out of two, three,\nor four components must disintegrate, and this is death.\nUnderstand, further, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n",,,,,doesn't need to be translated,
booktitle05,Изумрудная скрижаль - том V,Emerald Tablet - volume V,,,,,doesn't need to be translated,
bookdesc05,"И сказал Господь: «Сначала вынь Святую Чеку. Потом сосчитай до трёх. Не более. Не менее.\nТри должно быть число, до которого ты должен сосчитать, и число посчитанного должно быть три.\nДо четырёх не считай и на двойке не останавливайся, если только за этой двойкой не последует три.\nА пять - уже путь на небеса. Как только число три, будучи третьим числом, будет достигнуто, то\nбросай Священную Антиохийскую Гранату твою к врагу твоему,\nкоторый, будучи непослушным в глазах Моих, будет погублен ею же.»\n","And the Lord spake, saying,\n'First shalt hou take out the Holy Pin.\nThen, shalt thou count to three. No more. No less.\nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou two,\nexcepting that thou then proceed to three.\nFive is right out. Once at the number three, \nbeing the third number be reached, then,\nlobbest thou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall snuff it.'",,,,,doesn't need to be translated,
booktitle06,Изумрудная скрижаль - том VI,Emerald Tablet - volume VI,,,,,doesn't need to be translated,
bookdesc06,"Некоторые Алхимики воображают, что Великий труд, от начала его до самого конца, является ничем, кроме праздного развлечения;\nоднако те, кто и относится так к нему, пожинают то, что и посеяли - ничего. Мы точно знаем, что рядом с\nВысшим Благославением и определением надлежащей основы работы, нет ничего важнее чем\nнеутолимый труд и настойчивость в этой Первой Операции.\nВ таком случае не удивительно, что так много учеников этого Искусства, вынуждены прибегать к попрошайничеству;\nони боятся работы, и видят наше Искусство лишь как досуг, развлечение для них самих.\nТак как ни одно занятие не может быть более утомительно, как подготовительная часть наших смелых желаний.\n","Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown - nothing. \nWe know that next to the Divine Blessing,\nand the discovery of the proper foundation,\nnothing is so important as unwearied industry\nand perseverance in this First Operation.\nIt is no wonder, then, that so many students\nof this Art are reduced to beggary;\nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n",,,,,doesn't need to be translated,
booktitle07,Изумрудная скрижаль - том VII,Emerald Tablet - volume VII,,,,,doesn't need to be translated,
